cell_r0c0,cell_r1c0,cell_r2c0,cell_r3c0,cell_r4c0,cell_r5c0,cell_r0c1,cell_r1c1,cell_r2c1,cell_r3c1,cell_r4c1,cell_r5c1,cell_r0c2,cell_r1c2,cell_r2c2,cell_r3c2,cell_r4c2,cell_r5c2,cell_r0c3,cell_r1c3,cell_r2c3,cell_r3c3,cell_r4c3,cell_r5c3,cell_r0c4,cell_r1c4,cell_r2c4,cell_r3c4,cell_r4c4,cell_r5c4,cell_r0c5,cell_r1c5,cell_r2c5,cell_r3c5,cell_r4c5,cell_r5c5,cell_r0c6,cell_r1c6,cell_r2c6,cell_r3c6,cell_r4c6,cell_r5c6,best_action
player,opponent,empty,player,empty,opponent,player,opponent,opponent,empty,opponent,empty,player,opponent,empty,player,empty,opponent,empty,opponent,opponent,empty,player,empty,player,empty,player,opponent,empty,empty,empty,opponent,empty,player,empty,empty,empty,empty,player,empty,empty,empty,"('drop', 6)"
opponent,player,empty,opponent,empty,player,opponent,player,player,empty,player,empty,opponent,player,empty,opponent,empty,player,empty,player,player,empty,opponent,empty,opponent,empty,opponent,player,empty,empty,empty,player,empty,opponent,opponent,empty,empty,empty,opponent,empty,empty,empty,"('drop', 2)"
player,opponent,opponent,player,empty,opponent,player,opponent,opponent,empty,opponent,empty,player,opponent,empty,player,empty,opponent,empty,opponent,opponent,empty,player,empty,player,empty,player,opponent,empty,empty,empty,opponent,empty,player,player,empty,empty,empty,player,empty,empty,empty,"('pop', 6)"
opponent,player,player,opponent,empty,player,player,player,player,empty,player,empty,opponent,player,empty,opponent,empty,player,empty,player,player,empty,opponent,empty,opponent,empty,opponent,opponent,empty,empty,empty,player,empty,opponent,empty,empty,empty,empty,opponent,empty,empty,empty,"('drop', 0)"
player,opponent,opponent,player,empty,opponent,opponent,opponent,opponent,empty,opponent,empty,player,opponent,opponent,player,empty,opponent,empty,opponent,opponent,empty,player,empty,player,empty,player,player,empty,empty,empty,opponent,empty,player,empty,empty,empty,empty,player,empty,empty,empty,"('drop', 1)"
opponent,player,player,opponent,empty,player,player,player,player,empty,player,empty,opponent,player,player,opponent,empty,player,empty,player,player,empty,opponent,empty,opponent,empty,opponent,opponent,empty,opponent,empty,player,empty,opponent,empty,empty,empty,empty,opponent,empty,empty,empty,"('pop', 2)"
player,opponent,empty,player,empty,opponent,opponent,opponent,opponent,empty,opponent,empty,player,opponent,opponent,player,empty,opponent,empty,opponent,opponent,empty,player,empty,player,empty,player,player,empty,player,empty,opponent,empty,player,empty,empty,empty,empty,player,empty,empty,empty,"('drop', 2)"
opponent,player,opponent,opponent,empty,player,player,player,player,empty,player,empty,opponent,player,player,opponent,empty,player,empty,player,player,empty,opponent,empty,opponent,empty,opponent,opponent,empty,opponent,empty,player,empty,opponent,empty,empty,empty,empty,opponent,empty,empty,empty,"('pop', 5)"
player,opponent,player,player,empty,player,opponent,opponent,opponent,empty,opponent,empty,opponent,opponent,opponent,player,empty,opponent,empty,player,opponent,empty,player,empty,player,empty,player,player,empty,player,empty,opponent,empty,empty,empty,empty,empty,empty,player,empty,empty,empty,"('drop', 2)"
opponent,player,opponent,opponent,empty,opponent,player,player,player,opponent,player,empty,player,player,player,opponent,empty,player,empty,opponent,player,empty,opponent,empty,opponent,empty,opponent,opponent,empty,opponent,empty,player,empty,empty,empty,empty,empty,empty,opponent,empty,empty,empty,"('drop', 2)"
player,opponent,player,player,empty,player,opponent,opponent,opponent,player,opponent,empty,opponent,opponent,opponent,player,opponent,opponent,empty,player,opponent,empty,player,empty,player,empty,player,player,empty,player,empty,opponent,empty,empty,empty,empty,empty,empty,player,empty,empty,empty,"('pop', 0)"
player,player,opponent,opponent,empty,opponent,player,player,player,opponent,player,empty,player,player,empty,opponent,player,player,empty,opponent,player,empty,opponent,empty,opponent,empty,opponent,opponent,empty,opponent,empty,player,empty,empty,empty,empty,empty,empty,opponent,empty,empty,empty,"('drop', 5)"
opponent,opponent,player,player,empty,player,opponent,opponent,opponent,player,opponent,empty,opponent,opponent,empty,player,opponent,opponent,empty,player,opponent,empty,player,empty,player,empty,player,player,empty,player,empty,opponent,empty,opponent,empty,empty,empty,empty,player,empty,empty,empty,"('drop', 0)"
player,player,opponent,opponent,empty,opponent,player,player,player,opponent,player,empty,player,player,opponent,opponent,player,player,empty,opponent,player,empty,opponent,empty,opponent,empty,opponent,opponent,empty,opponent,empty,player,empty,player,empty,empty,empty,empty,opponent,empty,empty,empty,"('drop', 1)"
opponent,opponent,player,player,empty,player,opponent,opponent,opponent,player,opponent,empty,opponent,opponent,player,player,opponent,opponent,empty,player,opponent,empty,player,empty,player,empty,player,player,empty,player,empty,opponent,empty,opponent,empty,empty,opponent,empty,player,empty,empty,empty,"('drop', 4)"
empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 0)"
opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 6)"
player,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 5)"
